"n","seq","response_prior","eig"
30,"HTTT","ignorance",0.656764072353693
30,"HTTH","ignorance",0.424204702802891
30,"HTHT","ignorance",0.554060632808885
30,"HTHH","ignorance",0.756624667737806
30,"HHTT","ignorance",0.424204702802891
30,"HHTH","ignorance",0.756624667737806
30,"HHHT","ignorance",0.756624667737806
30,"HHHH","ignorance",0.82919845509287
31,"TTTT","ignorance",0.832580656406172
31,"TTTH","ignorance",0.765035667515393
31,"TTHT","ignorance",0.765035667515393
31,"TTHH","ignorance",0.432717008991723
31,"THTT","ignorance",0.765035667515392
31,"THTH","ignorance",0.556307927102634
31,"THHT","ignorance",0.432717008991723
31,"THHH","ignorance",0.667247254423922
31,"HTTT","ignorance",0.667247254423922
31,"HTTH","ignorance",0.432717008991722
31,"HTHT","ignorance",0.556307927102634
31,"HTHH","ignorance",0.765035667515393
31,"HHTT","ignorance",0.432717008991722
31,"HHTH","ignorance",0.765035667515393
31,"HHHT","ignorance",0.765035667515393
31,"HHHH","ignorance",0.832580656406172
32,"TTTT","ignorance",0.835851980334127
32,"TTTH","ignorance",0.773015406862192
32,"TTHT","ignorance",0.773015406862192
32,"TTHH","ignorance",0.440804364657675
32,"THTT","ignorance",0.773015406862191
32,"THTH","ignorance",0.558410291223493
32,"THHT","ignorance",0.440804364657675
32,"THHH","ignorance",0.677246093699556
32,"HTTT","ignorance",0.677246093699556
32,"HTTH","ignorance",0.440804364657675
32,"HTHT","ignorance",0.558410291223493
32,"HTHH","ignorance",0.773015406862191
32,"HHTT","ignorance",0.440804364657675
32,"HHTH","ignorance",0.773015406862191
32,"HHHT","ignorance",0.773015406862191
32,"HHHH","ignorance",0.835851980334127
33,"TTTT","ignorance",0.839010310982246
33,"TTTH","ignorance",0.780596150747576
33,"TTHT","ignorance",0.780596150747576
33,"TTHH","ignorance",0.448491548156475
33,"THTT","ignorance",0.780596150747576
33,"THTH","ignorance",0.560390513033832
33,"THHT","ignorance",0.448491548156475
33,"THHH","ignorance",0.686791304357839
33,"HTTT","ignorance",0.686791304357839
33,"HTTH","ignorance",0.448491548156474
33,"HTHT","ignorance",0.560390513033832
33,"HTHH","ignorance",0.780596150747576
33,"HHTT","ignorance",0.448491548156474
33,"HHTH","ignorance",0.780596150747576
33,"HHHT","ignorance",0.780596150747576
33,"HHHH","ignorance",0.839010310982246
34,"TTTT","ignorance",0.842057728792891
34,"TTTH","ignorance",0.787807299264928
34,"TTHT","ignorance",0.787807299264928
34,"TTHH","ignorance",0.455802222444093
34,"THTT","ignorance",0.787807299264927
34,"THTH","ignorance",0.562264600779542
34,"THHT","ignorance",0.455802222444093
34,"THHH","ignorance",0.695911192215324
34,"HTTT","ignorance",0.695911192215324
34,"HTTH","ignorance",0.455802222444093
34,"HTHT","ignorance",0.562264600779542
34,"HTHH","ignorance",0.787807299264928
34,"HHTT","ignorance",0.455802222444093
34,"HHTH","ignorance",0.787807299264928
34,"HHHT","ignorance",0.787807299264928
34,"HHHH","ignorance",0.842057728792891
35,"TTTT","ignorance",0.845021522570167
35,"TTTH","ignorance",0.794675664189819
35,"TTHT","ignorance",0.794675664189819
35,"TTHH","ignorance",0.462758872192635
35,"THTT","ignorance",0.794675664189819
35,"THTH","ignorance",0.564027492608661
35,"THHT","ignorance",0.462758872192635
35,"THHH","ignorance",0.704631866984475
35,"HTTT","ignorance",0.704631866984476
35,"HTTH","ignorance",0.462758872192635
35,"HTHT","ignorance",0.564027492608661
35,"HTHH","ignorance",0.794675664189819
35,"HHTT","ignorance",0.462758872192635
35,"HHTH","ignorance",0.794675664189819
35,"HHHT","ignorance",0.794675664189819
35,"HHHH","ignorance",0.845021522570167
36,"TTTT","ignorance",0.847903002466836
36,"TTTH","ignorance",0.801225717420119
36,"TTHT","ignorance",0.801225717420119
36,"TTHH","ignorance",0.469382775465676
36,"THTT","ignorance",0.801225717420118
36,"THTH","ignorance",0.5656941569547
36,"THHT","ignorance",0.469382775465676
36,"THHH","ignorance",0.712977437449106
36,"HTTT","ignorance",0.712977437449106
36,"HTTH","ignorance",0.469382775465675
36,"HTHT","ignorance",0.5656941569547
36,"HTHH","ignorance",0.801225717420118
36,"HHTT","ignorance",0.469382775465675
36,"HHTH","ignorance",0.801225717420118
36,"HHHT","ignorance",0.801225717420118
36,"HHHH","ignorance",0.847903002466836
37,"TTTT","ignorance",0.850696800075725
37,"TTTH","ignorance",0.807479814387841
37,"TTHT","ignorance",0.807479814387841
37,"TTHH","ignorance",0.475694001694844
37,"THTT","ignorance",0.807479814387841
37,"THTH","ignorance",0.567280567176005
37,"THHT","ignorance",0.475694001694844
37,"THHH","ignorance",0.720970189803249
37,"HTTT","ignorance",0.720970189803249
37,"HTTH","ignorance",0.475694001694843
37,"HTHT","ignorance",0.567280567176006
37,"HTHH","ignorance",0.807479814387841
37,"HHTT","ignorance",0.475694001694843
37,"HHTH","ignorance",0.807479814387841
37,"HHHT","ignorance",0.807479814387841
37,"HHHH","ignorance",0.850696800075725
38,"TTTT","ignorance",0.853424203669423
38,"TTTH","ignorance",0.813458394867291
38,"TTHT","ignorance",0.813458394867291
38,"TTHH","ignorance",0.481711429299317
38,"THTT","ignorance",0.813458394867291
38,"THTH","ignorance",0.568780494668201
38,"THHT","ignorance",0.481711429299317
38,"THHH","ignorance",0.728630749858521
38,"HTTT","ignorance",0.728630749858521
38,"HTTH","ignorance",0.481711429299316
38,"HTHT","ignorance",0.568780494668201
38,"HTHH","ignorance",0.813458394867291
38,"HHTT","ignorance",0.481711429299316
38,"HHTH","ignorance",0.813458394867291
38,"HHHT","ignorance",0.813458394867291
38,"HHHH","ignorance",0.853424203669423
